年,月,總運量,日均運量,假日均運量,月台上刷卡日均筆數,車上刷卡日均筆數,售票機日均筆數,補票日均筆數,團體票日均筆數,人工售票日均筆數,備註,QR-CODE日均筆數
107,1,275360,8883,15132,1734.2,5495.9,1516.8,9.4,126.3,,,
107,2,413815,14779,20738,3854.9,9039.8,1754.9,11.9,117.7,,,
107,3,209783,6767,13198,1413.2,4487.5,660.7,6.5,199.2,,,
107,4,283651,9455,16656,2183.7,6013.8,944.5,6.3,306.8,,,
107,5,206325,6656,11573,1385.8,4331.5,558.6,7.1,372.7,,,
107,6,213372,7112,11818,1601.2,4673,644.2,7.0,186.9,,,
107,7,323385,10432,17413,2669.9,6592.6,1011.1,7.5,150.7,,,
107,8,296078,9551,16335,2372.6,6129.6,897.9,5.2,145.6,,,
107,9,218813,7294,12596,1762.7,4751.6,613.3,6.5,159.8,,,
107,10,229454,7402,14376,1712.2,4730.2,617.5,6.5,335.3,,,
107,11,260255,8675,15874,2036.2,5498.7,742.0,15.2,383.1,,,
107,12,436179,14070,25672,3542.5,9025,1201.3,18.4,283.1,,,
108,1,310193,10006,15375,2713,6238.8,783.2,11.5,259.7,,,
108,2,431570,15413,24853,5475.3,8246.8,1515.5,10.9,164.7,,,
108,3,275955,8902,15843,2661.5,5187.8,721.4,9.2,321.9,,,
108,4,264712,8824,15474,2437.2,5154.6,734.7,10.6,486.6,,,
108,5,235935,7611,13610,1974.3,4553.9,537.6,12.0,533.0,,,
108,6,247325,8244,13216,2129,5248.9,622.4,6.7,237.2,,,
108,7,298947,9643,15661,2622.6,6066.3,763.8,9.4,181.4,,,
108,8,263550,8502,12056,2263.5,5440.4,667.5,7.5,122.7,,,
108,9,215037,7168,12737,1825.6,4551.6,488.8,9.3,292.6,,,
108,10,253939,8465,16603,2219.3,5288.3,620.0,8.7,328.4,,,
108,11,237975,7933,14230,1952.6,5073,554.8,10.2,341.9,,,
108,12,305358,9850,17483,2621.3,6258.2,728.2,12.5,230.0,,,
109,1,322245,10395,15021,2808.5,6663.2,786.7,,,136.6,,
109,2,159742,5508,7656,1522.2,3597.2,365.8,,,23.2,,
109,3,89264,2879,4824,821.4,1910.2,141.7,,,6.2,,
109,4,68436,2281,3546,669.3,1501.6,105.9,,,4.3,,
109,5,95998,3097,5070,847.7,2098,142.6,,,8.4,,
109,6,169670,5656,10415,1732.1,3534.9,312.3,,,76.3,,
109,7,250342,8076,12797,2315.1,5239.5,435.6,,,85.3,,
109,8,272692,8797,13582,2459.6,5735.5,482.4,,,119.1,,
109,9,173801,5793,11071,1500.3,3817.3,242.5,,,233.2,,
109,10,249700,8055,14058,2553.5,4875,416.6,,,209.7,,
109,11,207234,6908,13274,2208.1,4152.2,347.5,,,200.0,,
109,12,264230,8524,16472,2573.6,5370.9,456.5,,,122.6,,
110,1,398956,12870,22079,3301.7,6014.4,629.1,,,60.6,1/1-1/11運量+1/12起大南環段試營運免費搭乘，運量採車站人員人工回報及透過CCTV點數搭乘人數方式計算,
110,2,593532,21198,33401,0,0,0.0,,,0.0,免費搭乘(免刷卡)至2/28，運量採車站人員人工回報及透過CCTV點數搭乘人數方式計算,
110,3,263930,8514,15403,2514.7,5518,394.6,,,86.5,,
110,4,284300,9477,16038,3006.5,5926.8,424.8,,,118.6,,
110,5,133023,4291,6463,1423.9,2642.6,172.2,,,52.4,,
110,6,29707,990,855,306.4,665.2,18.3,,,0.4,,
110,7,64998,2097,2251,602.3,1430.3,61.9,,,2.2,,
110,8,141994,4580,5851,1407,2991.5,175.5,,,6.4,,
110,9,187379,6246,10209,1779.6,4198.3,255.0,,,13.1,,
110,10,327293,10558,18944,3289.3,6483.8,486.5,,,101.3,110年10月增加QR-CODE筆數,197
110,11,292985,9766,18058,2942.8,6056,392.0,,,216.5,,158.9
110,12,535786,17283,31258,1802.2,6042.1,445.7,,,252.5,C17-C20 12/16日正式開通試營運，免費搭乘至111/1/2日,158.7
111,1,326766,10541,17046,2265.9,5441.1,306.3,,,139.3,C17-C20 免費搭乘至111/1/2日,178.1
111,2,558676,19953,28534,6897,10452,954.2,,,21.8,,1627.7
111,3,299982,9677,16774,3004,6099.8,311.5,,,70.9,,190.6
111,4,244954,8165,11869,2560.8,5153.5,249.2,,,56.3,,145.3
111,5,168790,5445,6450,1662.2,3514.6,136.1,,,15.2,,116.8
111,6,185593,6186,8577,1878.8,3957.4,205.8,,,9.9,,134.5
111,7,380402,12271,17583,3896.7,7566.5,517.6,,,61.3,,229
111,8,580587,18729,32781,6218,11169.6,850.5,,,102.4,,388.1
111,9,371177,12373,20193,4021.8,7423.2,475.9,,,124.8,,326.9
111,10,679577,21922,35099,7555.5,13005,596.1,,,116.6,,648.6
111,11,540322,18011,31089,6103,10778.5,454.4,,,151.9,,523
111,12,671374,21657,37855,7692.5,12445.2,714.5,,,167.3,,637.7
112,1,813628,26246,38685,10805.1,13477.5,1155.6,,,98.7,,709.1
112,2,609642,21773,33556,8326.3,11970.1,718.6,,,150.3,,607.7
112,3,538926,17385,26942,6423.1,9722.6,473.5,,,215.4,,550.1
112,4,658078,21936,32119,8585.1,11799.7,751.3,,,172.4,,627.4
112,5,551886,17803,26257,6467.6,9499.3,518.4,,,118.1,,1199.4
112,6,580423,19347,28300,7119.6,10313.7,605.6,,,98.0,,1210.5
112,7,696327,22462,32578,8336.7,12046.4,795.4,,,122.5,,1161.2
112,8,698723,22539,33136,7558.8,12875.9,780.1,,,122.8,,1201.8
112,9,536064,17869,23927,5998.2,10109.9,436.0,,,145.7,,1179
112,10,699709,23324,36466,9050.5,12154.3,616.0,,,147.4,,1355.4
112,11,625136,20838,32758,7258.8,11401,565.2,,,362.1,,1250.8
112,12,759508,24500,39925,13274.7,9032.5,761.7,,,167.5,,1263.8
113,1,1259327,40623,54650,"37,728","2,441",0.0,,,1.0,環狀輕軌元旦開始成圓試營運，免費搭乘至113/2/25日,"1,555"
113,2,1654558,57054,70817,55198.4,0,682.3,,,225.8,環狀輕軌元旦開始成圓試營運，免費搭乘至113/2/25日,1730.1
113,3,943243,30427,39319,26961.3,0,732.7,,,511.2,環狀輕軌車上刷卡機拆除，「車上刷卡筆數」不再統計,2222
113,4,885821,29527,38865,26010.4,0,781.7,,,576.4,,2158.8
